2318940	21898658	3330	NON	
2301147	21880873	9350	NON	
2293484	21873218	12077	NON	
2339114	21918822	286009	NON	
1154441	20727140	312255	NON	
2267127	21846876	457490	NON	
602331	20175600	468866	NON	
2124326	21704154	472648	NON	
2344934	21924640	496025	NON	
2339997	21919705	506666	NON	
2303341	21883065	510457	NON	
2296334	21876062	525739	NON	
441991	20015330	538409	NON	
2336178	21915889	545717	NON	
1417081	20992121	549221	NON	
2124330	21704158	557326	NON	
1618867	21198817	558246	NON	
2326433	21906146	567005	NON	
1734750	21314823	568933	NON	
2033258	21613136	570867	NON	
1958780	21538701	574570	NON	
2162856	21742666	578131	NON	
2334745	21914456	579449	NON	
1559175	21135085	585128	NON	
2267880	21847628	598760	NON	
1035489	20608322	602341	NON	
2305024	21884748	607156	NON	
1968063	21547980	614235	NON	
1751583	21331638	614385	NON	
2325105	21904822	633644	NON	
2313821	21893543	636145	NON	
2346186	21925892	640218	NON	
1361774	20936688	642452	NON	
2322696	21902414	645874	NON	
2284090	21863830	647830	NON	
2299236	21878964	648613	NON	
966891	20539796	654194	NON	
2301838	21881564	656458	NON	
2235785	21815554	658233	NON	
2302922	21882646	658581	NON	
1276386	20851255	660060	NON	
2124346	21704174	661634	NON	
1642846	21222780	663593	NON	
2315908	21895629	665688	NON	
2176408	21756210	670244	NON	
2227836	21807606	671309	NON	
405073	19978439	675895	NON	
2342929	21922636	678891	NON	
218033	19791560	682224	NON	
2334666	21914377	691191	NON	
2100286	21680127	691655	NON	
2326766	21906479	692831	NON	
2171450	21751255	693322	NON	
2310889	21890611	694810	NON	
556809	20130112	699334	NON	
2288051	21867790	700960	NON	
2264366	21844117	710203	NON	
2224633	21804405	711533	NON	
2237876	21817642	717250	NON	
1388266	20963332	717363	NON	
2346166	21925872	717389	NON	
2268211	21847959	719907	NON	
2266105	21845856	721720	NON	
1426574	21001609	722511	NON	
2254244	21833998	725655	NON	
2324626	21904344	725695	NON	
2217011	21796788	727695	NON	
2250449	21830207	733376	NON	
2210410	21790189	735124	NON	
2310181	21889903	735848	NON	
2012572	21592465	736061	NON	
2124354	21704182	736181	NON	
2298645	21878373	740902	NON	
912725	20485709	742454	NON	
2236314	21816081	742869	NON	
2311777	21891499	752344	NON	
823320	20396420	756932	NON	
2319195	21898913	765932	NON	
1044300	20617126	769152	NON	
798264	20371389	769652	NON	
2336258	21915969	772973	NON	
919877	20492853	773790	NON	
2228825	21808595	775320	NON	
2299053	21878781	776061	NON	
1814786	21394792	777002	NON	
2346255	21925961	777918	NON	
2276359	21856105	780679	NON	
1522113	21097923	788029	NON	
2202407	21782186	793672	NON	
337403	19910812	795109	NON	
2328436	21908149	799640	NON	
2297442	21877170	800538	NON	
2228918	21808688	807891	NON	
179409	19752994	808386	NON	
1327809	20902661	808581	NON	
2314250	21893972	809099	NON	
2314591	21894313	817897	NON	
2304096	21883820	817927	NON	
2318292	21898010	820337	NON	
2312877	21892599	822125	NON	
2224258	21804030	825016	NON	
2283241	21862981	825618	NON	
2349582	21929288	826930	NON	
2080548	21660402	826937	NON	
2316077	21895798	826941	NON	
2343393	21923099	826983	NON	
2085511	21665365	830073	NON	
2220145	21799919	831615	NON	
2243923	21823685	832564	NON	
1497630	21073263	832616	NON	
1528310	21104112	832701	NON	
2271577	21851324	841298	NON	
1074903	20647689	841433	NON	
1547382	21123297	843518	NON	
496271	20069589	843688	NON	
2242793	21822556	846834	NON	
2344638	21924344	847191	NON	
2036642	21616518	847582	NON	
387036	19960407	849333	NON	
2348054	21927760	854863	NON	
2271890	21851637	855867	NON	
2310214	21889936	857100	NON	
2322683	21902401	858682	NON	
2102774	21682615	859106	NON	
2184898	21764694	860182	NON	
2227889	21807659	860335	NON	
2216324	21796101	861084	NON	
2319619	21899337	862138	NON	
2324410	21904128	862645	NON	
2060335	21640197	863737	NON	
1958359	21538280	865631	NON	
2174786	21754589	867972	NON	
2344978	21924684	868579	NON	
2238023	21817789	868800	NON	
2308411	21888134	868849	NON	
2319714	21899432	869230	NON	
2348123	21927829	870460	NON	
2325968	21905681	871550	NON	
2173174	21752979	873426	NON	
2228310	21808080	875490	NON	
2344329	21924035	877805	NON	
2275402	21855149	878655	NON	
2326853	21906566	879741	NON	
2247645	21827406	880824	NON	
2246985	21826746	882649	NON	
2319791	21899509	883187	NON	
2343886	21923592	884093	NON	
2223879	21803651	884842	NON	
1143330	20716036	885837	NON	
2297151	21876879	886988	NON	
2306966	21886690	888233	NON	
2275198	21854945	889427	NON	
2237240	21817007	894676	NON	
2336654	21916365	895574	NON	
2326509	21906222	897661	NON	
2259491	21839243	898456	NON	
2301293	21881019	899310	NON	
2256180	21835933	899828	NON	
2228214	21807984	902117	NON	
1903216	21483174	902315	NON	
2306671	21886395	905080	NON	
2304241	21883965	905139	NON	
2319661	21899379	905810	NON	
2196915	21776703	909476	NON	
2331216	21910929	910552	NON	
2349144	21928850	910786	NON	
2155084	21734895	911943	NON	
225654	19799167	916133	NON	
2135933	21715755	917167	NON	
2326524	21906237	918943	NON	
2325148	21904865	920777	NON	
1236956	20811061	923706	NON	
2272597	21852344	925664	NON	
2342081	21921788	928041	NON	
2224188	21803960	928303	NON	
2322160	21901878	933431	NON	
2310480	21890202	933668	NON	
2142463	21722280	936662	NON	
2187007	21766802	937141	NON	
2340451	21920159	937512	NON	
2263326	21843077	937524	NON	
2342064	21921771	937976	NON	
2166551	21746358	938068	NON	
2350660	21930363	938485	NON	
1098144	20670900	940327	NON	
2328223	21907936	942796	NON	
2176935	21756737	946070	NON	
2013955	21593847	946280	NON	
2133775	21713601	946594	NON	
2328805	21908518	947396	NON	
2344663	21924369	948019	NON	
2313180	21892902	948728	NON	
2324713	21904430	949750	NON	
2341293	21921000	949854	NON	
2190193	21769987	950077	NON	
2261042	21840794	952168	NON	
2344979	21924685	952800	NON	
2332846	21912558	952949	VAL	18340
2341991	21921698	953605	NON	
2318341	21898059	953613	NON	
2249388	21829148	953638	NON	
2213203	21792980	954202	NON	
2249117	21828877	954349	NON	
2349162	21928868	954786	NON	
2126548	21706376	955091	NON	
2337020	21916731	957793	NON	
2305440	21885164	958679	NON	
1977678	21557589	960350	NON	
1176117	20748792	961252	NON	
2269243	21848991	962128	NON	
2274916	21854663	962383	NON	
2347444	21927150	965407	NON	
151691	19725286	966777	NON	
836988	20410073	967355	NON	
2282438	21862180	967863	NON	
2174154	21753957	968658	NON	
2312637	21892359	970743	NON	
2269952	21849699	971315	NON	
2313593	21893315	971687	NON	
2305642	21885366	971765	NON	
2277307	21857052	972958	NON	
2309979	21889702	973114	NON	
2302708	21882432	973226	NON	
2284357	21864097	973269	NON	
2278535	21858279	975214	NON	
2125343	21705171	976214	NON	
2349082	21928788	977250	NON	
2348813	21928519	980417	NON	
1844505	21424498	981342	NON	
2328348	21908061	982390	NON	
2328894	21908607	983211	NON	
2257146	21836898	983501	NON	
2308684	21888407	984610	NON	
2217955	21797732	984850	NON	
2239220	21818986	985222	NON	
1502648	21078396	985515	NON	
1642902	21222836	986399	NON	
2305006	21884730	987226	NON	
2209803	21789582	987733	NON	
2282638	21862380	987762	NON	
2347878	21927584	989997	NON	
1098334	20671090	990675	NON	
2325079	21904796	990771	NON	
2280146	21859889	990830	NON	
2314032	21893754	993209	NON	
2305969	21885693	993472	NON	
845066	20418133	994260	NON	
1552917	21128829	994295	NON	
2210472	21790251	994685	NON	
2329576	21909289	996027	NON	
2256856	21836608	996266	NON	
2331791	21911504	998533	NON	
2340625	21920333	999603	NON	
2232762	21812532	999750	NON	
2277235	21856981	1002142	NON	
2099584	21679428	1005875	NON	
2236693	21816460	1008164	NON	
2340120	21919828	1008425	NON	
467292	20040616	1010635	NON	
2247074	21826835	1011367	NON	
2323087	21902805	1012328	NON	
2338852	21918563	1013588	NON	
2297710	21877438	1014213	NON	
2344793	21924499	1015084	NON	
2130280	21710106	1015309	NON	
932156	20505113	1018161	NON	
466956	20040280	1018430	NON	
2192574	21772364	1018789	NON	
2346271	21925977	1019399	NON	
2287572	21867311	1021033	NON	
2289284	21869022	1022211	NON	
2318817	21898535	1022252	NON	
2311451	21891173	1022350	NON	
2313018	21892740	1022622	NON	
2198330	21778116	1023621	NON	
2291632	21871367	1024046	NON	
2273387	21853134	1024278	NON	
2252498	21832256	1026037	NON	
2283451	21863191	1026047	NON	
2338319	21918030	1026724	NON	
2252779	21832537	1027561	NON	
1510049	21085871	1027657	NON	
2253654	21833412	1027899	NON	
2345519	21925225	1028097	NON	
2306592	21886316	1028098	NON	
2322496	21902214	1028674	NON	
2227807	21807577	1028960	NON	
179313	19752899	1029150	NON	
2225731	21805501	1029313	NON	
2333053	21912765	1029896	NON	
2346932	21926638	1030119	NON	
2257953	21837705	1030198	NON	
2311267	21890989	1030268	NON	
2214609	21794386	1031125	NON	
2285107	21864847	1031585	NON	
1881835	21461807	1033481	NON	
248775	19822271	1034246	NON	
1482363	21058003	1034402	NON	
1212923	20785588	1035485	NON	
2295983	21875714	1037296	NON	
2256182	21835935	1037819	NON	
2350622	21930325	1037852	NON	
1890435	21470403	1039386	NON	
2149058	21728874	1039542	NON	
2213910	21793687	1039686	NON	
1760965	21341012	1039944	NON	
2337573	21917284	1041082	NON	
2308872	21888595	1041926	NON	
2301826	21881552	1042700	NON	
2252395	21832153	1042706	NON	
709522	20282717	1042732	NON	
2330205	21909918	1043111	NON	
2301697	21881423	1043393	NON	
1593279	21173064	1044306	NON	
2175765	21755568	1044895	NON	
2347242	21926948	1044973	NON	
2241152	21820917	1045320	NON	
2341603	21921310	1045403	NON	
2241794	21821558	1045955	NON	
2244994	21824756	1046101	NON	
2318633	21898351	1046103	NON	
2317583	21897302	1046416	NON	
944377	20517316	1046802	NON	
2275888	21855634	1047237	NON	
2313997	21893719	1047690	NON	
2239442	21819208	1047826	NON	
2288130	21867869	1049152	NON	
2327469	21907182	1049192	NON	
1850896	21430883	1049404	NON	
2346127	21925833	1049420	NON	
2203464	21783243	1049554	NON	
2232184	21811954	1051649	NON	
2095193	21675040	1051787	NON	
2322519	21902237	1052454	NON	
2312759	21892481	1052763	NON	
2161554	21741364	1054060	NON	
2075086	21654943	1054924	NON	
2282411	21862153	1055354	NON	
1763547	21343591	1055990	NON	
1542569	21118492	1056384	NON	
2332073	21911786	1056708	NON	
270713	19844202	1056800	NON	
832512	20405600	1057957	NON	
2322058	21901776	1059700	NON	
2183646	21763442	1059933	NON	
2313463	21893185	1060248	NON	
2275369	21855116	1060953	NON	
2237636	21817403	1060987	NON	
2330727	21910440	1061029	NON	
2191461	21771255	1061134	NON	
2276443	21856189	1061572	NON	
702791	20275990	1063187	NON	
382518	19955891	1063345	NON	
1337944	20912879	1064078	NON	
2287440	21867179	1065450	NON	
2288452	21868190	1065523	NON	
2210807	21790586	1065950	NON	
2266268	21846019	1066240	NON	
2321374	21901092	1066420	NON	
1130383	20703091	1067140	NON	
1367823	20942731	1067169	NON	
1129503	20702211	1067324	NON	
2326325	21906038	1067419	NON	
2269064	21848812	1067679	NON	
2324156	21903874	1068008	NON	
2342953	21922660	1070123	NON	
1053165	20625969	1070398	NON	
251985	19825477	1070819	NON	
2348129	21927835	1071277	NON	
1175786	20748461	1071298	NON	
2220054	21799828	1071644	NON	
2311491	21891213	1071799	NON	
2303114	21882838	1072032	NON	
2350005	21929710	1072038	NON	
2224765	21804537	1072305	NON	
2343347	21923053	1072952	NON	
2281014	21860757	1072981	NON	
2297025	21876753	1073206	NON	
2229110	21808880	1073493	NON	
234353	19807865	1073918	NON	
1666971	21247078	1074462	NON	
2315655	21895376	1074477	NON	
2268327	21848075	1075108	NON	
667925	20241156	1077366	NON	
2311479	21891201	1077533	NON	
2252300	21832058	1078207	NON	
2076625	21656482	1078605	NON	
2307981	21887704	1078618	NON	
1420937	20995975	1079056	NON	
1367955	20942863	1079206	NON	
541812	20115117	1079390	NON	
2277664	21857408	1079498	NON	
1678335	21258441	1079788	NON	
1185347	20758016	1079862	NON	
2322592	21902310	1079940	NON	
2223559	21803331	1080285	NON	
2303952	21883676	1081009	NON	
1453698	21028848	1081152	NON	
1373870	20948775	1081379	NON	
2203100	21782879	1081949	NON	
1981466	21561376	1082316	NON	
2251769	21831527	1082750	NON	
2331490	21911203	1083895	NON	
1971105	21551021	1084039	NON	
2180380	21760179	1084398	NON	
2338115	21917826	1084684	NON	
2306165	21885889	1084957	NON	
2062630	21642492	1084985	NON	
2298988	21878716	1084992	NON	
2315538	21895259	1085159	NON	
2223761	21803533	1085720	NON	
2260102	21839854	1085754	NON	
2177536	21757335	1086061	NON	
2237631	21817398	1086501	NON	
2332274	21911987	1087930	NON	
2327415	21907128	1088300	NON	
2060985	21640847	1088427	NON	
2293438	21873172	1089445	NON	
2232566	21812336	1090029	NON	
2213869	21793646	1090368	NON	
2335349	21915060	1090630	NON	
