1812261	21898658	3330	NON	
1794463	21880873	9350	NON	
1786802	21873218	12077	NON	
1832433	21918822	286009	NON	
647866	20727140	312255	NON	
1760445	21846876	457490	NON	
95058	20175600	468866	NON	
1617640	21704154	472648	NON	
1838252	21924640	496025	NON	
1833317	21919705	506666	NON	
1796656	21883065	510457	NON	
1789647	21876062	525739	NON	
1829498	21915889	545717	NON	
910527	20992121	549221	NON	
1617644	21704158	557326	NON	
1112269	21198817	558246	NON	
1819753	21906146	567005	NON	
1228133	21314823	568933	NON	
1526566	21613136	570867	NON	
1452095	21538701	574570	NON	
1656167	21742666	578131	NON	
1828064	21914456	579449	NON	
1052596	21135085	585128	NON	
1761198	21847628	598760	NON	
528776	20608322	602341	NON	
1798340	21884748	607156	NON	
1461377	21547980	614235	NON	
1244951	21331638	614385	NON	
1818429	21904822	633644	NON	
1807139	21893543	636145	NON	
1839508	21925892	640218	NON	
855239	20936688	642452	NON	
1816021	21902414	645874	NON	
1777407	21863830	647830	NON	
1792553	21878964	648613	NON	
460097	20539796	654194	NON	
1795154	21881564	656458	NON	
1729106	21815554	658233	NON	
1796237	21882646	658581	NON	
769852	20851255	660060	NON	
1617660	21704174	661634	NON	
1136239	21222780	663593	NON	
1809227	21895629	665688	NON	
1669729	21756210	670244	NON	
1721156	21807606	671309	NON	
1836248	21922636	678891	NON	
1827985	21914377	691191	NON	
1593594	21680127	691655	NON	
1820086	21906479	692831	NON	
1664761	21751255	693322	NON	
1804206	21890611	694810	NON	
49410	20130112	699334	NON	
1781373	21867790	700960	NON	
1757685	21844117	710203	NON	
1717952	21804405	711533	NON	
1731194	21817642	717250	NON	
881727	20963332	717363	NON	
1839488	21925872	717389	NON	
1761532	21847959	719907	NON	
1759424	21845856	721720	NON	
920022	21001609	722511	NON	
1747564	21833998	725655	NON	
1817951	21904344	725695	NON	
1710330	21796788	727695	NON	
1743768	21830207	733376	NON	
1703729	21790189	735124	NON	
1803498	21889903	735848	NON	
1505884	21592465	736061	NON	
1617668	21704182	736181	NON	
1791960	21878373	740902	NON	
405818	20485709	742454	NON	
1729633	21816081	742869	NON	
1805094	21891499	752344	NON	
316201	20396420	756932	NON	
1812516	21898913	765932	NON	
